$ICAO,$Registration,sigh,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3
7CF99A,A15-302,True,Australian Army Aviation,Meridionali Ch-47D Chinook,H47,Mil,Twin Rotor,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/5/92179_1647678823.jpg,https://cdn.jetphotos.com/full/6/66682_1568199241.jpg,https://cdn.jetphotos.com/full/6/48583_1561417863.jpg
7CF99B,A15-303,True,Australian Army Aviation,Meridionali Ch-47D Chinook,H47,Mil,Twin Rotor,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/5/71795_1462429474.jpg,,
7CF99D,A15-305,True,Australian Army Aviation,Meridionali Ch-47D Chinook,H47,Mil,Twin Rotor,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/6/28995_1667303828.jpg,https://cdn.jetphotos.com/full/5/80517_1666434077.jpg,https://cdn.jetphotos.com/full/6/78084_1476772762.jpg
7CF99E,A15-306,True,Australian Army Aviation,Meridionali Ch-47D Chinook,H47,Mil,Twin Rotor,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/6/14045_1666429138.jpg,https://cdn.jetphotos.com/full/5/94263_1666126717.jpg,
7CFA2F,A15-309,True,Australian Army Aviation,Ch-47F Chinook,H47,Mil,Twin Rotor,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,,,
7CF903,A17-004,True,Australian Army Aviation,Bell Oh-58B Kiowa,B06,Mil,Scout,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,,,
7CF8DD,A17-011,True,Australian Army Aviation,Bell Oh-58B Kiowa,B06,Mil,Scout,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/2/25111_1191920771.jpg,https://cdn.jetphotos.com/full/1/44612_1096968665.jpg,
7CF8DE,A17-015,True,Australian Army Aviation,Bell Oh-58B Kiowa,B06,Mil,Scout,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,,,
7CF908,A17-016,True,Australian Army Aviation,Bell Oh-58B Kiowa,B06,Mil,Scout,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/5/62874_1424561571.jpg,https://cdn.jetphotos.com/full/3/52847_1333855844.jpg,https://cdn.jetphotos.com/full/2/38960_1280589536.jpg
7CF8E7,A17-017,True,Australian Army Aviation,Bell Oh-58B Kiowa,B06,Mil,Scout,Helo,Vigilance,Toy Soldiers,https://w.wiki/4tNd,https://cdn.jetphotos.com/full/4/76270_1338518709.jpg,,
